,date,averagePrice,volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
37,42106,1,48364,864.27,30374.15,21.5,17104.37,16438.49,665.88,0,conventional,2015,Albany
38,42099,1,47362,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany
39,42092,1,67799,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0,conventional,2015,Albany
40,42085,1,46347,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0,conventional,2015,Albany
41,42078,1,43046,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0,conventional,2015,Albany
42,42071,1,40507,795.68,30370.64,159.05,9181.99,8827.55,354.44,0,conventional,2015,Albany
43,42064,1,55596,629.46,45633.34,181.49,9151.45,8986.06,165.39,0,conventional,2015,Albany
44,42057,1,45675,1088.38,35056.13,151,9379.54,9000.16,379.38,0,conventional,2015,Albany
45,42050,1,41568,986.66,30045.51,222.42,10313.03,9979.87,333.16,0,conventional,2015,Albany
46,42043,1,51254,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0,conventional,2015,Albany
47,42036,1,70874,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,conventional,2015,Albany
48,42029,1,45148,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,conventional,2015,Albany
49,42022,1,44511,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,conventional,2015,Albany
50,42015,1,41195,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,conventional,2015,Albany
51,42008,1,40873,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,conventional,2015,Albany
0,42365,1,386100,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,conventional,2015,Atlanta
1,42358,1,331378,251774.15,20702.45,103.06,58797.87,46930.26,11867.61,0,conventional,2015,Atlanta
2,42351,1,417772,324932.28,31019.08,275.8,61545.31,38903.57,22628.21,13.53,conventional,2015,Atlanta
3,42344,1,357637,283024.01,23740.85,181.92,50690.04,37032.67,13654.66,2.71,conventional,2015,Atlanta
4,42337,1,333281,250288.65,28889.63,307.83,53794.68,33031.72,20738.55,24.41,conventional,2015,Atlanta
5,42330,1,356415,269799.03,29732.3,501.16,56382.08,36992.3,19389.78,0,conventional,2015,Atlanta
6,42323,1,339861,263915.78,28442.45,455.97,47046.48,33656.42,13390.06,0,conventional,2015,Atlanta
7,42316,1,334042,250441.38,34483.33,488.24,48628.65,35662.93,12941.12,24.6,conventional,2015,Atlanta
8,42309,1,419089,290457.5,62980.07,252.79,65398.38,39460.77,25929.39,8.22,conventional,2015,Atlanta
9,42302,1,358478,236814.29,64607.97,304.36,56751.46,31826.88,24924.58,0,conventional,2015,Atlanta
10,42295,1,349072,228710.28,59731.79,291.22,60339.19,36884.35,23454.84,0,conventional,2015,Atlanta
11,42288,1,433874,255933.32,91047.32,599.71,86294.11,41159.96,45134.15,0,conventional,2015,Atlanta
12,42281,1,418682,265797.09,92780.33,644.43,59460.41,14875.64,44584.77,0,conventional,2015,Atlanta
13,42274,1,370321,262107.44,61870.63,680.8,45662.3,20533.87,25125.65,2.78,conventional,2015,Atlanta
14,42267,1,516433,346118.51,82762.72,1349.41,86201.96,33698.43,52442.25,61.28,conventional,2015,Atlanta
15,42260,1,417232,278048.26,62485.97,714.93,75983.02,46290.32,29678.76,13.94,conventional,2015,Atlanta
16,42253,1,472137,303113.24,73675.85,911.25,94436.19,49833.55,44549.67,52.97,conventional,2015,Atlanta
17,42246,1,382973,275818.27,44839.12,1034.09,61281.24,47138.07,14112.5,30.67,conventional,2015,Atlanta
18,42239,1,379054,274462.42,46223.69,950.09,57418.09,45534.11,11883.98,0,conventional,2015,Atlanta
19,42232,1,465214,362579.51,41992.44,1424.96,59216.9,45068.25,14148.65,0,conventional,2015,Atlanta
20,42225,1,503792,385027.71,47040.07,4251.74,67472.2,45820.45,21568.48,83.27,conventional,2015,Atlanta
21,42218,1,405898,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,conventional,2015,Atlanta
22,42211,1,437378,335372.02,44087.07,708,57210.66,45114.22,12096.44,0,conventional,2015,Atlanta
23,42204,1,557213,446100.17,47838.42,1982.03,61292.37,45099.87,16192.5,0,conventional,2015,Atlanta
24,42197,1,407205,310080.33,37953.24,867.46,58303.85,46023.59,12280.26,0,conventional,2015,Atlanta
25,42190,1,562462,436377.91,54675.38,848.55,70560.49,50684.74,19851,24.75,conventional,2015,Atlanta
26,42183,1,435211,331353.43,37698.53,816.56,65342.19,52099.76,13108.03,134.4,conventional,2015,Atlanta
27,42176,1,554764,449311.47,30231.78,678.4,74542.11,55484.76,19010.81,46.54,conventional,2015,Atlanta
28,42169,1,465805,386370.5,17701.12,471.72,61261.44,48612.13,12578.28,71.03,conventional,2015,Atlanta
29,42162,1,551009,455565.92,22414.17,738.68,72290.28,50954.84,21329.99,5.45,conventional,2015,Atlanta
30,42155,1,454702,382900.99,19543.18,522.81,51735.02,40505.16,11199.95,29.91,conventional,2015,Atlanta
31,42148,1,623212,538126.94,27284.43,1260.8,56539.87,33867,22651.15,21.72,conventional,2015,Atlanta
32,42141,1,451251,386400.89,18618.84,838.68,45392.29,33710.2,11682.09,0,conventional,2015,Atlanta
33,42134,1,480071,413452.96,18860.63,1089.33,46668.26,34108.44,12559.82,0,conventional,2015,Atlanta
34,42127,1,634213,538403.48,28568.26,1059.73,66181.63,32520.82,33660.81,0,conventional,2015,Atlanta
35,42120,1,448597,387676.81,18366.33,1041.78,41511.84,31315.29,10196.55,0,conventional,2015,Atlanta
36,42113,1,430966,368709.65,18040.85,873.24,43342.6,29661.72,13680.88,0,conventional,2015,Atlanta
37,42106,1,451102,377578.48,22419.95,219.14,50884.32,25833.07,25051.25,0,conventional,2015,Atlanta
38,42099,1,383139,318473.47,19254.39,374.51,45037.12,28612.48,16289.92,134.72,conventional,2015,Atlanta
39,42092,1,365722,305028.89,16651.99,261.01,43780.25,29313.92,14466.33,0,conventional,2015,Atlanta
40,42085,1,479591,393591.03,23419.6,304.89,62275.1,40495.12,21766.54,13.44,conventional,2015,Atlanta
41,42078,1,399566,336172.08,16508.21,310.7,46575.23,34911.7,11625.94,37.59,conventional,2015,Atlanta
42,42071,1,420826,361559.22,15788.71,236.97,43241.42,33847.33,9394.09,0,conventional,2015,Atlanta
43,42064,1,512532,441544,21183.7,347.78,49456.96,32180.9,17273.38,2.68,conventional,2015,Atlanta
44,42057,1,431309,369316.29,18324.76,237.47,43430.04,33423.74,10006.3,0,conventional,2015,Atlanta
45,42050,1,427391,364446.77,17420.41,638.18,44885.92,26727.66,18158.26,0,conventional,2015,Atlanta
46,42043,1,433884,377256.38,17162.5,524.85,38940.18,18044.41,20895.77,0,conventional,2015,Atlanta
47,42036,1,636771,553198.56,31583.38,294.94,51694.49,10553.73,41140.76,0,conventional,2015,Atlanta
48,42029,1,449333,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0,conventional,2015,Atlanta
49,42022,1,431491,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0,conventional,2015,Atlanta
50,42015,1,397543,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0,conventional,2015,Atlanta
51,42008,1,435021,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0,conventional,2015,Atlanta
0,42365,1,596819,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0,conventional,2015,BaltimoreWashington
1,42358,1,642682,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0,conventional,2015,BaltimoreWashington
2,42351,1,619509,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0,conventional,2015,BaltimoreWashington
3,42344,1,649141,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0,conventional,2015,BaltimoreWashington
4,42337,1,545800,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0,conventional,2015,BaltimoreWashington
5,42330,1,572020,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0,conventional,2015,BaltimoreWashington
6,42323,1,718330,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0,conventional,2015,BaltimoreWashington
7,42316,1,830967,58579.27,576512.71,51035.04,144840.21,138777.63,6062.58,0,conventional,2015,BaltimoreWashington
8,42309,1,742221,51860.07,473819.14,58615.76,157925.7,152716.4,5209.3,0,conventional,2015,BaltimoreWashington
9,42302,1,656892,53766.25,397911.35,49085.74,156128.69,149987.55,6141.14,0,conventional,2015,BaltimoreWashington
10,42295,1,1005604,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0,conventional,2015,BaltimoreWashington
11,42288,1,653560,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0,conventional,2015,BaltimoreWashington
12,42281,1,657444,35342.34,407609.95,42257.73,172234.02,167494.61,4739.41,0,conventional,2015,BaltimoreWashington
13,42274,1,696282,34309.05,451061.03,59018.61,151893.12,146792.81,5100.31,0,conventional,2015,BaltimoreWashington
14,42267,1,709269,39619.87,450283.01,45336.12,174029.62,168889.78,5139.84,0,conventional,2015,BaltimoreWashington
15,42260,1,924994,55699.25,675524.33,42270.47,151499.56,145686.02,5813.54,0,conventional,2015,BaltimoreWashington
16,42253,1,823623,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington
17,42246,1,734721,48455.25,458207.46,42754.34,185304.24,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington
18,42239,1,783935,59242.02,499100.39,47216.18,178376.77,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington
19,42232,1,882755,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington
20,42225,1,821523,56362.75,557363.94,42933.87,164862.89,161564.81,3298.08,0,conventional,2015,BaltimoreWashington
21,42218,1,800603,53957.63,535167.1,44749.58,166728.92,163667.68,3061.24,0,conventional,2015,BaltimoreWashington
22,42211,1,772926,52746.41,496508.65,45010.81,178660.25,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington
23,42204,1,800194,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington
24,42197,1,850932,58827.99,547537.41,50679.01,193887.17,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington
25,42190,1,896299,66504.67,567640.7,56044.51,206108.89,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington
26,42183,1,862262,65051.95,534535.21,51109.85,211564.63,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington
27,42176,1,862841,58398.76,527866.5,51952.74,224622.73,220904.35,3488.37,230.01,conventional,2015,BaltimoreWashington
28,42169,1,955047,64005.15,593499.63,48344.86,249197.18,244982.26,3668.3,546.62,conventional,2015,BaltimoreWashington
29,42162,1,794310,62585.45,462951.05,43720.95,225052.84,221165.85,3626.41,260.58,conventional,2015,BaltimoreWashington
30,42155,1,949177,67744.84,617813.87,45832.8,217785.55,211787.29,5730.22,268.04,conventional,2015,BaltimoreWashington
31,42148,1,908662,63610.12,560740.03,49808.51,234503.17,228842.95,5548.94,111.28,conventional,2015,BaltimoreWashington
32,42141,1,790854,63515.06,455166.65,44840.98,227331.17,222163.1,5152.19,15.88,conventional,2015,BaltimoreWashington
33,42134,1,855206,79192.07,507104.15,44390.54,224519.06,215572.03,8947.03,0,conventional,2015,BaltimoreWashington
34,42127,1,896972,73038.46,536709.99,77537.43,209686.17,201874.28,7767.45,44.44,conventional,2015,BaltimoreWashington
35,42120,1,747841,58013.85,431532.87,39942.57,218351.8,212064.73,6184.29,102.78,conventional,2015,BaltimoreWashington
36,42113,1,762863,67486.78,427623.27,42125.28,225627.29,219885.88,5741.41,0,conventional,2015,BaltimoreWashington
37,42106,1,837630,70796.72,523170.13,42270.76,201392.01,196076.34,5315.67,0,conventional,2015,BaltimoreWashington
38,42099,1,688065,53579.17,401279.47,41867.08,191339.73,184109.06,6357.06,873.61,conventional,2015,BaltimoreWashington
39,42092,1,663677,58098.15,398050.87,43759.68,163768.62,158964.08,4804.54,0,conventional,2015,BaltimoreWashington
40,42085,1,808897,65158.96,524971.24,42381.39,176385.62,171699.95,4685.67,0,conventional,2015,BaltimoreWashington
41,42078,1,693698,53400.14,395837.01,46596.22,197864.76,193130.9,4733.86,0,conventional,2015,BaltimoreWashington
42,42071,1,657746,55284.8,367670.93,42267.91,192522.26,188374.49,4147.77,0,conventional,2015,BaltimoreWashington
43,42064,1,770115,59039.85,498872.67,40241.65,171961.07,168224.2,3736.87,0,conventional,2015,BaltimoreWashington
44,42057,1,749846,50501.07,445970.56,62611.61,190762.55,186976.97,3785.58,0,conventional,2015,BaltimoreWashington
45,42050,1,637319,49751.74,361677.37,45900.05,179990.18,174864.87,5125.31,0,conventional,2015,BaltimoreWashington
46,42043,1,844931,71703.52,554857.41,37437.32,180932.96,175771.39,5161.57,0,conventional,2015,BaltimoreWashington
47,42036,1,1007419,93166.54,666010.38,83652.48,164589.36,159916.87,4672.49,0,conventional,2015,BaltimoreWashington
48,42029,1,692934,49696.14,386398.73,39488.95,217350.64,209761.81,7588.83,0,conventional,2015,BaltimoreWashington
49,42022,1,657741,49947.16,393359.6,40576.08,173858.5,169390.88,4467.62,0,conventional,2015,BaltimoreWashington
50,42015,1,670232,51460.64,420837.82,42526.96,155406.52,151330.87,4075.65,0,conventional,2015,BaltimoreWashington
51,42008,1,788025,53987.31,552906.04,39995.03,141136.68,137146.07,3990.61,0,conventional,2015,BaltimoreWashington
0,42365,1,62910,30482.25,2971.94,5894.4,23561.1,23520.19,5.69,35.22,conventional,2015,Boise
1,42358,1,57504,25628.22,2546.09,7393.84,21935.9,21900.35,11.43,24.12,conventional,2015,Boise
2,42351,1,58461,27148.61,2985.73,6458.44,21868.27,21842.87,4.44,20.96,conventional,2015,Boise
3,42344,1,95295,35590.98,12526.5,4086.26,43091.6,42734.53,0,357.07,conventional,2015,Boise
4,42337,1,49069,24189.98,2789.67,6031.49,16057.99,15860.63,0,197.36,conventional,2015,Boise
5,42330,1,52876,25408.86,3255.97,6662.8,17547.95,17530.67,4.32,12.96,conventional,2015,Boise
6,42323,1,68648,24424.72,12085.72,6502.37,25635.41,25200.25,8.65,426.51,conventional,2015,Boise
7,42316,1,55848,31910.27,4651.88,6285.73,12999.91,12777.83,119.79,102.29,conventional,2015,Boise
8,42309,1,53586,30434.99,4359.52,6428.27,12362.73,12331.82,0,30.91,conventional,2015,Boise
9,42302,1,59874,29521.58,10089.82,6551.57,13711.48,13660.98,0,50.5,conventional,2015,Boise
10,42295,1,54191,29614.23,9069.38,6586.27,8921.26,8918,0,3.26,conventional,2015,Boise
11,42288,1,80904,26114.19,33415.88,7604.48,13769.64,13543.47,185.46,40.71,conventional,2015,Boise
12,42281,1,59496,35154.43,10821.85,7551.63,5968.42,5462.15,504.65,1.62,conventional,2015,Boise
13,42274,1,64188,47007.35,5754.04,3663.3,7763.11,7596.64,160,6.47,conventional,2015,Boise
14,42267,1,73953,34826.9,21592.13,6640.07,10893.8,10601.02,273.41,19.37,conventional,2015,Boise
15,42260,1,64209,45738.83,4393.9,6593.46,7482.65,7482.65,0,0,conventional,2015,Boise
16,42253,1,64465,44134.65,5402.17,7991.75,6936.04,6934.43,0,1.61,conventional,2015,Boise
17,42246,1,60100,40926.77,5809.92,7922.58,5440.56,5440.56,0,0,conventional,2015,Boise
18,42239,1,70774,44059.22,14861.33,4433.12,7420.09,7420.09,0,0,conventional,2015,Boise
19,42232,1,64002,46189.28,5258.21,6457.21,6096.91,6090.51,0,6.4,conventional,2015,Boise
20,42225,1,61287,44739.54,5034,3931.19,7582.25,7568.92,13.33,0,conventional,2015,Boise
21,42218,1,67764,51151.27,5140.89,5435.36,6036.39,5987.5,48.89,0,conventional,2015,Boise
22,42211,1,67826,50978.38,4856.27,5479.57,6511.85,6358.04,153.81,0,conventional,2015,Boise
23,42204,1,63958,45921.6,5300.3,5565.17,7170.97,6354.45,816.52,0,conventional,2015,Boise
24,42197,1,74678,51828.75,5802.65,7474.4,9571.92,8335.04,1236.88,0,conventional,2015,Boise
25,42190,1,85044,61949.73,8022.13,8434.98,6637.61,6557.06,80.55,0,conventional,2015,Boise
26,42183,1,75280,59111.33,6573.26,3974.75,5621.07,5619.44,0,1.63,conventional,2015,Boise
27,42176,1,81397,52790.21,15444.74,5875.85,7286.27,7021.56,0,264.71,conventional,2015,Boise
28,42169,1,87608,58791.25,17880.43,3135.99,7800.04,7800.04,0,0,conventional,2015,Boise
29,42162,1,80751,61245.49,7237.55,6655.69,5612.56,5603.8,8.76,0,conventional,2015,Boise
30,42155,1,76689,57373.57,7421.36,4028.3,7866.15,7860.31,5.84,0,conventional,2015,Boise
31,42148,1,83210,54825.95,14839.33,6037.23,7507.26,7469.51,0,37.75,conventional,2015,Boise
32,42141,1,77988,61319.66,7393.99,2919.87,6354.01,6345.82,0,8.19,conventional,2015,Boise
33,42134,1,95789,62505.3,15896.54,7891.16,9495.53,9453.06,0,42.47,conventional,2015,Boise
34,42127,1,85467,66880.12,7942.34,4289.72,6354.81,6349.93,0,4.88,conventional,2015,Boise
35,42120,1,88111,69544.59,7985.48,3401.65,7179.45,7174.6,0,4.85,conventional,2015,Boise
36,42113,1,89695,56843.62,21630.9,3260.22,7960.22,7953.8,0,6.42,conventional,2015,Boise
37,42106,1,66246,44469.15,8506.36,7523.01,5747.78,5747.78,0,0,conventional,2015,Boise
38,42099,1,76704,57339.81,9060.49,3790.38,6513.78,6510.61,0,3.17,conventional,2015,Boise
39,42092,1,74544,59532.94,7119.52,3101.98,4789.54,4789.54,0,0,conventional,2015,Boise
40,42085,1,61419,44227.33,6589.77,7290.24,3311.77,3311.77,0,0,conventional,2015,Boise
41,42078,1,65918,51472.29,7018.29,2981.8,4445.9,4445.9,0,0,conventional,2015,Boise
42,42071,1,65350,45879.84,7206.22,7403.75,4860.43,4860.43,0,0,conventional,2015,Boise
43,42064,1,75046,40578,23738.56,3491.83,7237.98,6478.75,759.23,0,conventional,2015,Boise
44,42057,1,76836,50872,16374.74,2122.09,7467.27,7235.2,232.07,0,conventional,2015,Boise
45,42050,1,61222,41547.87,7840.31,6492.94,5340.86,3647.52,1693.34,0,conventional,2015,Boise
46,42043,1,69971,54229.34,9647.24,3047,3047.17,1373.42,1673.75,0,conventional,2015,Boise
47,42036,1,113578,67496.3,36532.33,2904.77,6644.84,4867.26,1777.58,0,conventional,2015,Boise
48,42029,1,66069,51922.06,7555.95,2061.16,4530.04,2009.53,2520.51,0,conventional,2015,Boise
49,42022,1,62870,50354.95,6342.37,2257.23,3915.94,1119.18,2796.76,0,conventional,2015,Boise
50,42015,1,57356,38112.34,10997.54,3321.89,4923.75,3295.11,1628.64,0,conventional,2015,Boise
51,42008,1,80034,44562.12,24964.23,2752.35,7755.62,6064.3,1691.32,0,conventional,2015,Boise
0,42365,1,450816,3886.27,346964.7,13952.56,86012.86,85913.6,99.26,0,conventional,2015,Boston
1,42358,1,489803,4912.37,390100.99,5887.72,88901.8,88768.47,133.33,0,conventional,2015,Boston
2,42351,1,549946,4641.02,455362.38,219.4,89722.96,89523.38,199.58,0,conventional,2015,Boston
3,42344,1,488679,5126.32,407520.22,142.99,75889.78,75666.22,223.56,0,conventional,2015,Boston
4,42337,1,350560,3609.25,272719.08,105.86,74125.62,73864.52,261.1,0,conventional,2015,Boston
5,42330,1,466760,4457.62,383420.46,233.74,78648.17,78161.82,486.35,0,conventional,2015,Boston
6,42323,1,513739,5310.32,420936.8,139.71,87352.15,85604.19,1747.96,0,conventional,2015,Boston
7,42316,1,641760,5304.09,542880.92,231.74,93342.82,88265.25,5077.57,0,conventional,2015,Boston
8,42309,1,553097,4886.14,449532.49,170.29,98507.92,93443.08,5064.84,0,conventional,2015,Boston
9,42302,1,534249,4005.39,430725.78,191.31,99326.99,94581.94,4745.05,0,conventional,2015,Boston
10,42295,1,725296,6409.86,627503.98,332.87,91049.58,86046.25,5003.33,0,conventional,2015,Boston
11,42288,1,485707,5145.86,378295.9,355.03,101909.89,97513.23,4396.66,0,conventional,2015,Boston
12,42281,1,536479,5804.31,427358.64,277.56,103038.91,97207.43,5831.48,0,conventional,2015,Boston
13,42274,1,553307,5210.84,463079.81,289.49,84726.9,82123.56,2603.34,0,conventional,2015,Boston
14,42267,1,498640,4376.74,398673.48,418.46,95171.55,91612.66,3558.89,0,conventional,2015,Boston
15,42260,1,655683,5422.29,560792.23,353.77,89114.66,84843.55,4271.11,0,conventional,2015,Boston
16,42253,1,577775,4237.44,477867.83,496.62,95172.85,94558.41,614.44,0,conventional,2015,Boston
17,42246,1,526665,4177.03,438502.9,554.04,83430.9,83242.01,188.89,0,conventional,2015,Boston
18,42239,1,589471,4744.11,488292.1,608.61,95826.5,95585.38,241.12,0,conventional,2015,Boston
19,42232,1,565795,4460.85,464476.33,748.65,96109.23,95887.01,222.22,0,conventional,2015,Boston
20,42225,1,690517,4173.23,590998.11,827.06,94518.79,94287.69,231.1,0,conventional,2015,Boston
21,42218,1,571995,4442.2,468591.76,1451.95,97508.59,97214.15,294.44,0,conventional,2015,Boston
22,42211,1,500234,4299.27,393281.62,1957.86,100694.94,100466.86,228.08,0,conventional,2015,Boston
23,42204,1,597168,4720.08,477629.8,5071.77,109746.47,109519,227.47,0,conventional,2015,Boston
24,42197,1,634516,5332.07,471639.53,9361.55,148182.59,146946.54,1236.05,0,conventional,2015,Boston
25,42190,1,582910,4743.46,418251.03,11053.82,148861.42,145982.99,2878.43,0,conventional,2015,Boston
26,42183,1,560495,4688.28,403230.6,9120.3,143455.74,142574.63,881.11,0,conventional,2015,Boston
27,42176,1,543505,3582.45,404908.53,8899.2,126114.48,125821.15,293.33,0,conventional,2015,Boston
28,42169,1,684346,5104.19,521254.77,6545.42,151442.1,151258.77,183.33,0,conventional,2015,Boston
29,42162,1,562543,4034.11,421007.42,93.05,137408.28,137224.94,183.34,0,conventional,2015,Boston
30,42155,1,565161,4128.35,418105.36,108.6,142818.64,142515.32,303.32,0,conventional,2015,Boston
31,42148,1,633522,4601.66,490485.76,276.82,138157.74,137769.31,388.43,0,conventional,2015,Boston
32,42141,1,534489,4285.68,380514.08,162.66,149526.12,147667.72,1858.4,0,conventional,2015,Boston
33,42134,1,625558,4601.5,476827.52,131.47,143997.65,141309.43,2688.22,0,conventional,2015,Boston
34,42127,1,552369,3828.64,429586.28,239.76,118714.26,115148.87,3565.39,0,conventional,2015,Boston
35,42120,1,465911,3915.3,352464.49,131.46,109400.12,106866.42,2533.7,0,conventional,2015,Boston
36,42113,1,504620,4013.71,384880.49,162.91,115562.72,114562.17,1000.55,0,conventional,2015,Boston
37,42106,1,408485,3575.89,294164.23,106.09,110638.95,108644.33,1994.62,0,conventional,2015,Boston
38,42099,1,449818,3657.54,330424.74,99.92,115635.81,113541.34,1948.64,145.83,conventional,2015,Boston
39,42092,1,453631,3619.31,339299.3,151.36,110561.28,108838.11,1723.17,0,conventional,2015,Boston
40,42085,1,453173,5956.18,344396.92,155.94,102664.18,102204.17,460.01,0,conventional,2015,Boston
41,42078,1,417750,6085.75,308996.7,111.59,102556.32,101931.87,624.45,0,conventional,2015,Boston
42,42071,1,408404,3425.53,290512.65,78.96,114386.82,113811.26,575.56,0,conventional,2015,Boston
43,42064,1,485736,4106.42,383573.77,192.98,97862.93,97423.17,439.76,0,conventional,2015,Boston
44,42057,1,355432,3232.68,251341.3,142.33,100715.97,100498.19,217.78,0,conventional,2015,Boston
45,42050,1,399884,3794.97,281106.45,143.41,114839.16,114283.61,555.55,0,conventional,2015,Boston
46,42043,1,609985,7653.19,495731.7,383.73,106216.72,105403.38,813.34,0,conventional,2015,Boston
47,42036,1,490022,6082.88,373452.06,272.81,110214.39,109900.93,313.46,0,conventional,2015,Boston
48,42029,1,409344,4730.77,288094.65,45.98,116472.16,115538.05,934.11,0,conventional,2015,Boston
49,42022,1,401331,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0,conventional,2015,Boston
